iter	Passed	Remaining
425	1715	2311
426	1718	2306
427	1721	2300
428	1724	2295
429	1728	2290
430	1731	2285
431	1734	2280
432	1737	2275
433	1741	2270
434	1743	2265
435	1747	2260
436	1750	2255
437	1754	2251
438	1758	2246
439	1762	2242
440	1765	2238
441	1768	2233
442	1772	2228
443	1775	2223
444	1779	2219
445	1782	2214
446	1786	2209
447	1789	2204
448	1793	2200
449	1796	2195
450	1799	2190
451	1802	2184
452	1805	2180
453	1809	2175
454	1812	2170
455	1815	2166
456	1819	2161
457	1822	2157
458	1826	2152
459	1829	2148
460	1833	2143
461	1836	2139
462	1840	2134
463	1843	2129
464	1846	2124
465	1849	2119
466	1852	2114
467	1855	2109
468	1858	2103
469	1861	2098
470	1865	2094
471	1868	2089
472	1871	2084
473	1874	2079
474	1876	2074
475	1880	2069
476	1883	2064
477	1885	2059
478	1888	2054
479	1891	2049
480	1895	2045
481	1898	2040
482	1901	2034
483	1904	2029
484	1907	2025
485	1910	2020
486	1913	2015
487	1916	2010
488	1918	2005
489	1921	2000
490	1924	1995
491	1927	1990
492	1930	1985
493	1933	1980
494	1936	1976
495	1940	1971
496	1943	1966
497	1945	1961
498	1948	1956
499	1951	1951
500	1954	1947
501	1957	1942
502	1960	1937
503	1963	1932
504	1967	1928
505	1970	1924
506	1973	1919
507	1976	1914
508	1979	1909
509	1982	1905
510	1985	1900
511	1988	1895
512	1991	1890
513	1994	1886
514	1998	1882
515	2002	1877
516	2005	1873
517	2008	1868
518	2012	1864
519	2015	1860
520	2018	1855
521	2022	1851
522	2026	1847
523	2029	1843
524	2032	1839
525	2036	1834
526	2040	1831
527	2044	1827
528	2048	1823
529	2051	1819
530	2055	1815
531	2058	1811
532	2062	1806
533	2065	1802
534	2070	1799
535	2073	1795
536	2076	1790
537	2080	1786
538	2084	1782
539	2087	1778
540	2090	1773
541	2094	1769
542	2098	1766
543	2102	1762
544	2105	1758
545	2109	1754
546	2112	1749
547	2116	1745
548	2120	1741
549	2123	1737
550	2127	1733
551	2130	1729
552	2133	1724
553	2137	1720
554	2140	1716
555	2144	1712
556	2147	1707
557	2150	1703
558	2153	1698
559	2156	1694
560	2159	1690
561	2162	1685
562	2165	1680
563	2168	1676
564	2171	1672
565	2174	1667
566	2176	1662
567	2179	1657
568	2182	1653
569	2185	1648
570	2188	1644
571	2191	1639
572	2194	1635
573	2196	1630
574	2199	1625
575	2202	1621
576	2205	1616
577	2208	1612
578	2211	1607
579	2213	1603
580	2217	1599
581	2220	1595
582	2224	1590
583	2226	1586
584	2229	1581
585	2233	1577
586	2235	1573
587	2238	1568
588	2241	1564
589	2244	1559
590	2247	1555
591	2250	1551
592	2253	1546
593	2256	1542
594	2258	1537
595	2262	1533
596	2265	1529
597	2268	1524
598	2271	1520
599	2273	1515
600	2277	1511
601	2280	1507
602	2283	1503
603	2286	1499
604	2289	1494
605	2292	1490
606	2295	1486
607	2298	1481
608	2300	1477
609	2303	1472
610	2307	1468
611	2310	1464
612	2313	1460
613	2316	1456
614	2320	1452
615	2324	1448
616	2327	1444
617	2330	1440
618	2335	1437
619	2338	1433
620	2341	1429
621	2344	1425
622	2349	1421
623	2352	1417
624	2356	1413
625	2361	1410
626	2366	1407
627	2369	1403
628	2372	1399
629	2376	1395
630	2381	1392
631	2385	1388
632	2388	1384
633	2395	1382
634	2398	1378
635	2402	1374
636	2405	1371
637	2410	1367
638	2414	1364
639	2417	1360
640	2421	1355
641	2425	1352
642	2429	1348
643	2432	1344
644	2435	1340
645	2440	1337
646	2443	1333
647	2446	1329
648	2449	1324
649	2455	1321
650	2457	1317
651	2460	1313
652	2463	1309
653	2466	1304
654	2469	1300
655	2472	1296
656	2475	1292
657	2479	1288
658	2482	1284
659	2485	1280
660	2488	1276
661	2491	1271
662	2493	1267
663	2496	1263
664	2499	1259
665	2502	1255
666	2505	1250
667	2508	1246
668	2511	1242
669	2514	1238
670	2517	1234
671	2520	1230
672	2523	1226
673	2526	1222
674	2529	1217
675	2532	1213
676	2534	1209
677	2537	1205
678	2540	1201
679	2543	1197
680	2546	1192
681	2549	1188
682	2552	1184
683	2555	1180
684	2557	1176
685	2560	1172
686	2563	1168
687	2566	1163
688	2569	1159
689	2572	1155
690	2576	1152
691	2579	1147
692	2582	1143
693	2584	1139
694	2587	1135
695	2590	1131
696	2593	1127
697	2596	1123
698	2599	1119
699	2602	1115
700	2605	1111
701	2608	1107
702	2611	1103
703	2614	1099
704	2618	1095
705	2621	1091
706	2624	1087
707	2627	1083
708	2630	1079
709	2633	1075
710	2636	1071
711	2639	1067
712	2642	1063
713	2645	1059
714	2649	1055
715	2652	1051
716	2654	1047
717	2657	1043
718	2661	1040
719	2664	1036
720	2667	1032
721	2670	1028
722	2673	1024
723	2676	1020
724	2679	1016
725	2682	1012
726	2684	1008
727	2687	1004
728	2691	1000
729	2694	996
730	2697	992
731	2700	988
732	2703	984
733	2706	980
734	2709	977
735	2712	973
736	2715	969
737	2718	965
738	2721	961
739	2724	957
740	2727	953
741	2730	949
742	2733	945
743	2736	941
744	2739	937
745	2742	933
746	2745	929
747	2748	925
748	2751	922
749	2754	918
750	2757	914
751	2761	910
752	2764	906
753	2767	902
754	2770	898
755	2773	895
756	2777	891
757	2780	887
758	2783	883
759	2786	879
760	2789	876
761	2792	872
762	2794	868
763	2797	864
764	2800	860
765	2803	856
766	2807	852
767	2810	848
768	2812	844
769	2815	840
770	2818	837
771	2821	833
772	2824	829
773	2827	825
774	2830	821
775	2833	817
776	2836	813
777	2838	810
778	2842	806
779	2844	802
780	2847	798
781	2850	794
782	2853	790
783	2856	786
784	2859	783
